DISPCNT write val=0x1040 at scanline=71 cyc=98962962 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=98965439 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=98972818 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=98976527 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=98982674 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=98987609 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=98992537 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=98998697 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=99002393 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=99009785 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=99012249 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=99022105 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=99031958 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=99034431 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=99043046 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=99045519 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=99052902 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=99054146 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=99062758 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=99065234 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=99165007 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=99167473 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=99174863 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=99178561 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=99184719 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=99189653 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=99194585 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=99200741 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=99204441 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=99211829 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=99214297 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=99224149 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=99234002 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=99235247 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=99243858 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=99246335 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=99253714 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=99257423 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=99263570 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=99268505 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=99273433 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=99279593 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=99283289 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=99290681 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=99293145 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=99303001 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=99312854 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=99315327 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=99323942 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=99326415 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=99333798 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=99335042 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=99343654 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=99346130 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=99445903 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=99448369 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=99455759 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=99459457 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=99465615 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=99470549 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=99475481 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=99481637 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=99485337 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=99492725 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=99495193 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=99505045 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=99514898 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=99516143 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=99524754 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=99527231 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=99534610 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=99538319 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=99544466 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=99549401 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=99554329 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=99560489 PC=0x800af7a
